text,tweet_num,o4mini_label,4o_mini_label,llama_label,qwen_4b_label,o4mini_label_short,4o_mini_label_short,llama_label_short,qwen_4b_label_short,label,o4mini_drug_labels,4o_mini_drug_labels,llama_drug_labels,qwen_4b_drug_labels,found_index_terms,DEA_found_index_terms,pubchem_found_index_terms,GPT_found_index_terms,redmed_found_index_terms
"The best argument I've heard against the drug overdose ""hypothesis"" (seems quite likely I admit) is that if someone is a heavy user of opiates they're going to be able to handle levels that would literally kill someone who's never used before.",2503,True,False,False,False,T,F,F,F,T,['other'],,"['other', 'Opiates']",['other'],['oxycodone'],[],[],['oxycodone'],[]
"But please don't feel sorry for me please, I am strong and as long as I have pain meds I can make it through most of the day. I'm on enough morphine to kill a animal; but I do not want to complain about & don't you dare feel sorry for me please. 💋love, NormaJean I am a strong.",2673,True,True,True,True,T,T,T,T,F,"['Morphine', 'other']","['Morphine', 'other']","['Morphine', 'other']",['Morphine'],"['oxymorphone', 'lsd', 'morphine']","['lsd', 'morphine']",['morphine'],"['oxymorphone', 'morphine']",['morphine']
"He's trying to avoid testifying because he's afraid that if he testifies that he sold drugs to Floyd, he'll be tried for third-degree murder. Which means his lawyers know that a fentanyl overdose is a likely cause of death here. Which is rotten news for the Chauvin prosecution.",2709,True,False,False,True,T,T,F,T,T,"['Fentanyl', 'other']",['Fentanyl'],['Fentanyl'],"['Fentanyl', 'other']",['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl'],['fentanyl']
I lost my dad to midazolam and morphine in Scotland May 2020 without seeing him and I'm still in the angry stage of grief. It's so hard 😢,2729,False,False,False,False,F,F,F,F,T,"['Morphine', 'other']","['Morphine', 'other']","['Morphine', 'Midazolam']","['Morphine', 'other']",['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
"CBD oil which is from the cannabis plant is fine as it does not contain THC. No intoxication and no problem driving. 
Anything containing THC is a no no as the OP says.",2806,False,False,False,False,F,F,F,F,T,"['other', 'Marijuana', 'CBD']",['other'],"['Cannabis', 'CBD']","['Marijuana', 'CBD']","['cbd', 'delta-9-thc-cooh']","['cbd', 'delta-9-thc-cooh']",['cbd'],['cbd'],['cbd']
"$PVSP and Artizen cannabis wish you a happy 4/20! #OTC #Potstocks #Love #fuel #gas #skunk #slurricane #Dutchberry
$pifr $mj $acb $tsla $prdl $sfio",2817,True,True,False,True,T,T,T,T,T,['Marijuana'],"['other', 'Marijuana']","['other', 'CBD']",['Marijuana'],['delta-9-thc-cooh'],['delta-9-thc-cooh'],[],[],[]
San Francisco to allow legal cannabis sales at annual 4/20 celebration for the first time in history,2968,False,False,False,False,F,F,F,F,T,['Marijuana'],,['CBD'],['Marijuana'],[],[],[],[],[]
steal the night K WORD the lights feel it under your skin time is right  uhhh Cuz its pulling you in pump it up you cant stop cuz it feels like an overdose FEELS LIKE AN OVERDOOOSE Bah BAh evacuate the dance floor bah bah im infected by the sound,3002,False,True,True,True,F,T,T,T,T,['Ketamine'],['other'],['other'],NO_JSON_FOUND,[],[],[],[],[]
When you overdose on fentanyl or any other opiate or benzodiazepine it depresses your central nervous system until you lose consciousness then you stop breathing and eventually go into cardiac arrest... hypoxia is a symptom not the cause,3162,False,False,False,False,F,F,F,F,T,"['Fentanyl', 'other']","['Fentanyl', 'other']","['Fentanyl', 'other']","['Fentanyl', 'other']","['fentanyl', 'methadone']",['fentanyl'],['fentanyl'],"['fentanyl', 'codeine']",['fentanyl']
This is why Publix (who profits from pharmaceuticals) has been blocking efforts to legalize cannabis in Florida.,3280,False,False,False,False,F,F,F,F,T,['Marijuana'],,['other'],['Marijuana'],[],[],[],[],[]
"The BOTDF album is underrated. I actually like some of the remixes on there and Is it Scary, Ghosts & Morphine are 👌🏾",3292,False,False,False,False,F,F,F,F,F,['Morphine'],['Morphine'],['Morphine'],['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
One of my great aunts was born in 1915 & would visit from CA every couple yrs. I'd play cards w/ her & my grandma on the floor in front of a TV w/Jeopardy on. They knew most of the answers & would crack jokes or talk abt random stuff from the old days during the Great Depression.,3309,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
"A recent survey of oncologists-in-training found that they had received no ""formal training regarding #medicalcannabis"" &  ""considered themselves insufficiently informed to make cannabis-related medical recommendations."" 
 
 #oncologists #cancertreatment",3359,False,False,False,False,F,F,F,F,T,['Marijuana'],,['CBD'],['Marijuana'],[],[],[],[],[]
The first-ever cannabis farm  bookings open tomorrow! 4/20 at 10 AM Pacific. They'll go fast so mark your calendar!,3362,True,True,True,False,T,F,T,F,T,"['other', 'Marijuana']",,['other'],['Marijuana'],['methamphetamine'],[],[],['methamphetamine'],[]
Please tell your drug dealer I said hie,3400,True,True,True,True,T,T,T,T,T,,['other'],['other'],['other'],[],[],[],[],[]
"Ain't gone lie... I saw DMX overdose and was fighting for his life. 

My reaction was like ""Again mane 🙄""

Then I saw the interview recently telling the story about his 30yr old mentor tricked him into smoking weed laced with crack when he was 14 and the effect😩💔🤦🏾‍♂️",3443,True,True,True,True,T,F,F,T,T,"['other', 'Marijuana']","['other', 'Marijuana']",['other'],"['other', 'Marijuana']",['delta-9-thc-cooh'],['delta-9-thc-cooh'],[],[],[]
"Some of them drag to overdose..
Too much ""perfections""

They send you up..
And you can't come down..
You are doing crazy stuff at first but it is easy to lose control",3453,True,True,True,True,T,T,T,T,T,,,['other'],['other'],['fentanyl'],['fentanyl'],[],[],[]
"Tw// drugs? Medicine? Pain killers? Vomit/gaging. 
/
/
/
/
I'm gonna say it CHERRY liquid morphine tastes like vomit AND IM NOT WRONG cause every time my nurse used to make me take it after surgery I would actually almost throw up and gag and it was badddd.",3628,False,False,False,False,F,F,T,T,T,"['Morphine', 'other']",['Morphine'],"['Morphine', 'other']",['Morphine'],"['oxymorphone', 'morphine']","['morphine', 'oxycodone']",['morphine'],"['oxymorphone', 'morphine']",['morphine']
Listen to  - Kobe Codeine Ft.  (Prod. by ) by Dirty Rose Music Group #np #SoundCloud,3685,False,True,True,False,F,F,T,F,T,['Codeine'],['Codeine'],"['other', 'Codeine']",['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"#CrimesAgainstHumanity 
USA ~ 
Healthcare✖️
Cannabis to Eat✖️
Wages✖️
Climate Action✖️
Regime Change Wars✔️
Fossil Subsidy✔️
#TaxCuts✔️
Every law passed is for Industrial Complex✔️ 
State Rights✔️
Marijuana Prohibition of #Food ✔️ 
Workers vs Oligarchy ✔️",3752,False,False,True,False,F,F,T,F,T,['Marijuana'],,['other'],['Marijuana'],[],[],[],[],[]
Terrible satire. Dude really tweeted that on a tweet expressing condolences to a man who died of an overdose and heart attack,3759,False,False,True,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
"This morning for 4/20, we're taking a look at the jumpstart of New York's cannabis industry.

Here in Rochester, some events are also being held to celebrate the holiday.

Tune in",4091,False,False,False,False,F,F,F,F,T,['Marijuana'],,['CBD'],['Marijuana'],[],[],[],[],[]
"I take ER morphine since 93' and IR morphine now, only
They won't even switch up to oxy for an extra trauma/oral/surgery  or loritab elixir for an occasional COPD/bronchitis/flu cough when needed.
No occasional Soma for a muscle injury or 2 Ativan if I have to fly or dentist",4115,False,True,False,False,F,T,F,F,T,"['Hydrocodone', 'Cyclobenzaprine', 'Oxycodone', 'Lorazepam', 'Morphine']","['Cyclobenzaprine', 'Oxycodone', 'Lorazepam', 'Morphine', 'other']","['Morphine', 'Lorazepam', 'Oxycodone', 'Methocarbamol']","['Morphine', 'Zolpidem', 'Lorazepam', 'Oxycodone']","['lorazepam', 'hydrocodone', 'morphine', 'oxycodone']","['morphine', 'oxycodone']","['lorazepam', 'morphine']","['lorazepam', 'hydrocodone', 'morphine', 'oxycodone']","['lorazepam', 'hydrocodone', 'morphine']"
"So, imagining yourself to be one of these otherwise reasonably intelligent people, what is the story you are telling yourself about why NOT to invest in the cannabis sector?",4139,False,False,False,False,F,F,F,F,F,['Marijuana'],,['Cannabis'],"['Marijuana (Cannabis, Weed, Pot)']",[],[],[],[],[]
To the women I am mutuals with I want you to know that you are echelons above these men. Don't ever forget that. They are truly beneath you. Know that and know peace lol💞,4492,False,False,False,False,F,F,F,F,F,,,['other'],,['phencyclidine'],['mdma'],['phencyclidine'],[],[]
Right here👇would add Soul Food… 😂the crack comment tho🤣🤣,4539,False,True,True,True,T,T,T,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
He can't open them. He's got a serious drug problem. We'll be hearing about his death from overdose at some point.,4563,True,True,True,False,T,T,F,T,T,,['other'],"['Fentanyl', 'other']",['other'],[],[],[],[],[]
"Excited delirium is normally caused by stimulants like methamphetamine. The officers didn't know he had taken meth and fentanyl. When taken together, methamphetamine masks the symptom of fentanyl overdose. If they treated him for excited delirium, as per protocol, he'd die.",4575,False,False,True,False,F,F,F,T,T,"['Fentanyl', 'Methamphetamine']","['Fentanyl', 'Methamphetamine']","['Fentanyl', 'Methamphetamine']","['Fentanyl', 'Methamphetamine']","['methamphetamine', 'fentanyl', 'amphetamine']","['methamphetamine', 'fentanyl']","['methamphetamine', 'fentanyl']","['methamphetamine', 'fentanyl', 'amphetamine']","['methamphetamine', 'fentanyl']"
Mix that sprite up with that lean i love my Codeine🍇🍼,4698,True,True,True,True,T,T,T,T,F,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"Codeine Boy Da BeatDealer - 5249 [Demo]
by TRAP BEATS Codeine... Free Download:",4724,False,True,True,True,F,T,T,T,F,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
My new sounds: Codeine Boy Da BeatDealer  - 5228 [Demo],4768,False,True,True,True,F,T,T,T,F,['Codeine'],,['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
Im on ocean drive sippin codeine with the top down 20 grand on me lot of jewelry and a glock 9,4779,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],"['other', 'Codeine']",['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"Again..... the doctor admitted that fentanyl, the drug he had in his system can suppress breathing. He also admitted that he didn't know he had foam coming out of his mouth at the scene and complained of respiratory distress before being restrained...both signs of a drug overdose",4824,False,False,False,False,T,F,F,T,T,['Fentanyl'],"['Fentanyl', 'other']",['Fentanyl'],['Fentanyl'],"['fentanyl', 'mdma']","['fentanyl', 'mdma']",['fentanyl'],['fentanyl'],['fentanyl']
Sask. man fighting to get another patient's drug overdose removed from his health record,4827,False,False,False,False,F,F,F,F,F,,,,['other'],[],[],[],[],[]
"yup, they either don't pay enough, don't offer enough hours, don't provide health care, or like you said, they don't respond back 😤. like damn, is crack selling season? cause I might need to start serving 😂",4963,True,True,True,True,T,T,T,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
"I doubt the jury believes George overdosed , he   Then chose to wait the whole day to overdose only  until he was face down on the ground hand cuffed with a knee on his neck for almost ten minutes.",5028,True,False,True,False,T,F,F,T,T,,,['Fentanyl'],,[],[],[],[],[]
"Some of my ⁦⁩ colleagues prioritize gouging taxpayers for welfare state expansion: #Obamacare#MedicaidExpansion in budget, Gannon bill to expand Medicaid, free heroin needles, and now food stamps to eat at restaurants on the taxpayer dime",5050,False,False,False,True,F,F,F,T,T,['other'],['other'],['other'],['other'],[],[],[],[],[]
"Such a strange comparison. Clearly you want to normalize intravenous drug use. Coffee, beer, socially acceptable. Heroin use by a kids school, tough to swallow that one as acceptable. But go on. Keep reaching to justify this as normal and acceptable.",5185,True,False,True,True,T,F,F,T,T,['other'],,"['Heroin', 'other']",['other'],['morphine'],[],[],[],[]
"Wait - we're told it was no way no how and overdose, weren't we?",5250,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
#MedASSIST is kicking goals with >2 million records of OTC #codeine meds in real time,5290,False,False,False,False,F,F,F,F,F,['Codeine'],,['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
codeine help me stop feeling ~ take me away from the pain,5300,True,True,True,True,T,T,T,T,T,['Codeine'],['Codeine'],['Codeine'],['Codeine'],['codeine'],['codeine'],['codeine'],['codeine'],['codeine']
"Well said. This all applies to toys, computers, auto parts, spatulas, appliances, clothing, and just about anything else you can think of. Hard to imagine that the board game industry is somehow going to crack the code that none of those other industries can (or want to).",5443,False,False,False,False,F,F,F,F,F,,,['other'],,[],[],[],[],[]
"Cannabis can take US business to the next level 🤑

In the US, cannabis profits were $12.2 billion in 2019 and are projected to grow to a whopping $31.1 billion by 2024! When cannabis is legalized at the federal level, tax revenues could multiply many times over.",5555,False,False,False,False,F,F,F,F,T,['Marijuana'],,['Cannabis'],['Marijuana'],[],[],[],[],[]
That's cool Guuuurl 😎. I just really into cannabis and shrooms. We got some cool breweries and a distillery in town,5818,True,True,True,True,T,T,T,T,T,"['Psilocybin', 'Marijuana']","['Psilocybin', 'Marijuana']","['Psilocin', 'CBD']",NO_JSON_FOUND,[],[],[],[],[]
"Cann-ID®,  Rolls-Out Unique Scalable Cannabis Industry Solution Combines: NFTs + COAs + Marketing + Limited Edition Art 
        Cannabis Testing COAs Through Cann-ID® proprietary software, uploaded to the blockchain applied to many creative NFT applications for cannabis bra…",5908,False,False,False,False,F,F,F,F,F,['Marijuana'],,['other'],,['mdma'],['mdma'],[],[],[]
Brewing with Cannabis by Dr. Keith Villa () is the perfect gift for craft beer and cannabis enthusiasts on #420! This book includes recipes and guidance when creating non-alcohol beer or homebrew. Order today!,5938,True,True,False,False,T,F,F,T,T,['Marijuana'],,['CBD'],['Marijuana'],['delta-9-thc-cooh'],['delta-9-thc-cooh'],[],[],[]
"Who wouldn't? The narrative was extremely compelling. However, one then sees this. 2 kilos of heroin possibly all added up by countless Nagaens each strapping three tablespoons on their inside thigh. Each drop adds up into an ocean. How does one look at these people?",6084,True,True,True,True,T,T,T,T,T,['other'],['other'],['Heroin'],"['Heroin', 'other']",[],[],[],[],[]
Sask. Health Authority encourages companies to bring in drug-overdose training,6334,False,False,False,False,F,F,F,F,T,,,['other'],['other'],[],[],[],[],[]
"Young Couple Achieves Dream Of Buying Crack House In Slums For $100,000 Over Asking Price",6357,False,True,True,True,F,T,T,T,F,['other'],['other'],['other'],['other'],[],[],[],[],[]
I just figured out my sister's friend has over 100k subscribers on YouTube wth,6375,False,False,False,False,F,F,F,F,F,,,,,[],[],[],[],[]
"#cannabiscommunity #marijuana #cannabis Markowitz Herbold PC Files Motion to Disqualify Susman Godfrey LLP  

        PORTLAND, Ore.--(BUSINESS WIRE)--Citing that ""Susman Godfrey violated its duties to prospective clients"", Markowitz has filed a",6376,False,False,False,False,F,F,F,F,T,['Marijuana'],,"['other', 'Marijuana', 'Cannabis']",['Marijuana'],[],[],[],[],[]
"But there is a flip side to it too. This flow of funds is like a free supply of drugs. You could either suffer from an overdose or a withdrawal. An addict, if at all, has a limited use .",6579,True,True,True,False,F,T,F,T,T,,['other'],['other'],['other'],[],[],[],[],[]
"Not sure yet but like halfway in they just drop you as ""trying too hard to be the good guy"" and revealing the cops you worked with are ALL in fact, corrupt. 
But not the ""beating people at traffic stops + horrific racism"" corrupt the ""I'm a drug dealer now lol"" corrupt.",6595,True,True,False,True,F,T,F,F,T,,['other'],['other'],['other'],[],[],[],[],[]
"Other than the plague, not yet :( gonna crack into my last Raymond chandler finally! Then I'll have read them all I think. & ima read world war z o.o",6719,False,False,False,False,F,F,F,F,F,,,['other'],['other'],[],[],[],[],[]
"Not that I think you even listened to the album to begin with, but you went into this assignment knowing crystal clear that you had a pre-existing prejudice against Demi. You publicly tweeted ONE DAY after her overdose ""one less addict in the world"" - absolutely despicable",6730,False,False,True,False,F,F,F,T,F,,,['other'],['other'],['methamphetamine'],['methamphetamine'],['phencyclidine'],['methamphetamine'],[]
Derek Chauvin Defense Uses Forensic Pathologist Cross-examination to Support George Floyd Overdose Theory,6818,True,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
"They gave him morphine, and he slept for ten minutes.  Then did think they gave him anything.  And kept asking.  He got the first around 5pm something and he just got the second dose. Hope to know soon.",6957,False,False,False,False,F,F,F,F,T,['Morphine'],,['Morphine'],['Morphine'],['morphine'],['morphine'],['morphine'],['morphine'],['morphine']
Lol you need to write a book beef.  You crack me up. Are you feeling better.  Any word from the vettyman?,6959,False,False,False,False,F,F,F,F,F,,,['other'],['other'],[],[],[],[],[]
"Falcon Friday 🦅
The Evil Twin… this video was created for the launch of my Limited Edition Black Falcon back in 2015. It's long been sold out so NOT available from your local  dealer anymore but keep following for news of the Black and White BD Falcon Juniors 🖤🤍",7056,False,False,False,False,F,F,F,F,F,,,['other'],,[],[],[],[],[]
"Who is he, other than a two bit drug dealer",7178,True,True,True,True,T,T,T,T,T,,,['other'],['other'],[],[],[],[],[]
"He's got scissors on his left foot! 
This dude be doing some hard crack",7210,True,True,True,True,T,T,T,T,T,['other'],['other'],['other'],['other'],[],[],[],[],[]
EXCLUSIVE: Enveric Offers Investors Rare Exposure To Both Cannabis And Psychedelic Industries,7233,False,False,False,False,F,F,F,F,T,"['other', 'Marijuana']",,"['Psychedelic', 'Cannabidiol']","['other', 'Marijuana']",['ketamine'],[],[],['ketamine'],[]
I am Mexican and I'm not a drug dealer 👍,7324,False,False,False,False,F,F,F,F,T,,,['other'],,[],[],[],[],[]
That he scored more coke from his dealer.,7385,True,True,True,True,T,T,T,T,T,['other'],['Cocaine'],['other'],['other'],[],[],[],[],[]
"overdose is legitimently a medical emergency.

where is the source for this ""Convicted felon who held a gun to the stomach of a pregnant woman for drug money"" claim?

loss of life no matter how shitty is not in consequential",7500,True,False,False,False,F,F,F,T,F,,,['other'],['other'],['zopiclone'],[],[],[],[]
"What drugs do you take? Heroin, cocaine like the ukrainian comedian?",7575,True,True,True,True,T,T,T,T,T,['other'],['other'],"['Cocaine', 'Heroin']",['other'],[],[],[],[],[]
Major food brands seek crackdown on marijuana-infused copycats - Cannabis Business Executive - Canna...,7593,False,False,False,False,F,F,F,F,F,['Marijuana'],['Marijuana'],['other'],['Marijuana'],[],[],[],[],[]
